Severity	Likelihood	Relevance	Priority
5	0.83	0.35	0
6	0.27	0.84	0
3	0.24	0.23	0
7	0.97	0.12	0
6	0.51	0.9	0
3	0.87	0.9	0
1	0.51	0.16	0
1	0.2	0.76	0
5	0.44	0.29	0
8	0.61	0.85	0
8	0.51	0.34	0
6	0.3	0.53	0
4	0.84	0.38	0
10	0.17	0.82	0
6	0.59	0.28	0
9	0.5	0.13	0
10	0.91	0.91	1
9	0.35	0.2	0
9	0.15	0.72	0
1	0.34	0.31	0
5	0.8	0.85	0
7	0.92	0.2	0
1	0.37	0.91	0
5	0.4	0.94	0
8	0.96	0.78	1
2	0.85	0.11	0
1	0.29	0.9	0
3	0.37	0.16	0
10	0.45	0.18	0
8	0.26	0.63	0
10	0.59	0.14	0
2	0.32	0.92	0
5	0.85	0.24	0
4	0.21	0.62	0
1	0.68	0.14	0
2	0.69	0.76	0
1	0.74	0.19	0
10	0.82	0.84	1
2	0.37	0.32	0
5	0.58	0.55	0
1	0.89	0.8	0
2	0.67	0.16	0
6	0.79	0.32	0
4	0.24	0.3	0
10	0.2	0.51	0
1	0.67	1	0
9	0.33	0.38	0
1	0.97	0.43	0
7	0.2	0.47	0
5	0.27	1	0
2	0.78	0.8	0
3	0.88	0.94	0
2	0.48	0.44	0
8	0.72	0.26	0
5	0.94	0.15	0
2	0.12	0.36	0
3	0.11	0.4	0
8	0.25	0.83	0
10	0.63	0.92	0
3	0.56	0.51	0
8	0.37	0.2	0
1	0.54	0.33	0
2	0.34	0.11	0
2	0.98	0.92	0
3	0.66	0.5	0
10	0.69	0.18	0
10	0.52	0.37	0
6	0.94	0.75	1
6	0.51	0.72	0
1	0.33	0.45	0
10	0.19	0.35	0
5	0.74	0.32	0
3	0.14	0.72	0
6	0.77	0.4	0
7	0.72	0.58	0
7	0.42	0.23	0
9	0.89	0.35	0
3	0.47	0.5	0
3	0.63	0.69	0
7	0.13	0.82	0
3	0.54	0.32	0
9	0.38	0.38	0
9	0.47	0.5	0
10	0.45	0.16	0
6	0.82	0.82	1
3	0.74	0.3	0
3	0.29	0.18	0
1	0.56	0.7	0
6	0.95	0.26	0
2	0.28	0.74	0
10	0.3	0.48	0
6	0.36	0.65	0
9	0.63	0.68	0
5	0.89	0.55	0
5	0.74	0.84	0
6	0.2	0.89	0
5	0.48	0.36	0
9	0.5	0.78	0
6	0.26	0.26	0
6	0.74	0.67	0
6	0.35	0.88	0
6	0.73	0.79	0
7	0.5	0.14	0
8	0.18	0.69	0
3	0.97	0.81	0
7	0.84	0.3	0
6	0.95	0.21	0
6	0.61	0.95	0
6	0.79	0.77	0
10	0.51	0.63	0
3	0.87	0.55	0
7	0.57	0.68	0
1	0.85	0.41	0
1	0.17	0.43	0
5	0.82	0.97	0
8	0.75	0.55	0
7	0.49	0.72	0
9	0.7	0.22	0
9	0.45	0.28	0
1	0.37	0.81	0
1	0.43	0.32	0
1	0.84	0.12	0
1	0.19	0.76	0
1	0.41	0.64	0
3	0.53	0.57	0
5	0.6	0.35	0
2	0.78	0.42	0
6	0.22	0.57	0
6	0.44	0.2	0
3	0.74	0.79	0
6	0.6	0.73	0
7	0.5	0.29	0
2	0.73	0.96	0
1	0.87	0.51	0
9	0.94	0.13	0
8	0.58	0.49	0
10	0.53	0.49	0
6	0.46	0.31	0
2	0.24	0.14	0
9	0.17	0.11	0
9	0.34	0.21	0
4	0.55	0.14	0
3	0.69	0.39	0
9	0.85	0.68	0
4	0.81	0.61	0
3	0.7	0.26	0
3	0.66	0.2	0
3	0.88	0.61	0
6	0.71	0.51	0
4	0.44	0.44	0
9	0.37	0.96	0
9	0.48	0.77	0
10	0.48	0.26	0
5	0.34	0.56	0
2	0.59	0.46	0
9	0.65	0.22	0
2	0.6	0.7	0
9	0.61	0.94	0
5	0.41	0.85	0
3	0.3	0.32	0
5	0.52	0.68	0
10	0.94	0.98	1
5	0.43	0.12	0
9	0.72	0.86	0
1	0.84	0.66	0
4	0.4	0.97	0
6	0.12	0.65	0
7	0.86	0.12	0
5	0.49	0.28	0
1	0.6	0.7	0
4	0.83	0.74	0
1	0.98	0.74	0
10	0.57	0.13	0
5	0.78	0.18	0
7	0.9	0.37	0
2	0.11	0.5	0
7	0.81	0.29	0
10	0.65	0.56	0
3	0.83	0.38	0
5	0.85	0.16	0
2	0.44	0.89	0
10	0.37	0.36	0
3	0.54	0.5	0
8	0.85	0.59	0
4	1	0.51	0
6	0.64	0.87	0
1	0.49	0.16	0
9	0.12	0.99	0
10	0.51	0.57	0
3	0.24	0.42	0
1	0.63	0.66	0
8	0.81	0.98	1
3	0.9	0.33	0
4	0.35	0.45	0
5	0.64	0.56	0
8	0.99	0.4	0
4	0.88	0.8	0
7	0.51	0.25	0
2	0.4	0.61	0
8	0.26	0.12	0
9	0.65	0.53	0
5	0.78	0.24	0
1	0.35	0.38	0
4	0.13	0.73	0
4	0.4	0.28	0
9	0.85	0.36	0
9	0.17	0.19	0
4	0.42	0.55	0
5	0.87	0.52	0
1	0.17	0.12	0
8	0.91	0.5	0
5	0.84	0.66	0
5	0.31	0.22	0
4	0.94	0.56	0
4	0.61	0.82	0
6	0.99	0.77	1
3	0.98	0.61	0
8	0.33	0.47	0
5	0.81	0.52	0
3	0.18	0.32	0
7	0.5	0.8	0
2	0.88	0.19	0
10	0.59	1	0
5	0.28	0.53	0
8	0.42	0.21	0
3	0.67	0.78	0
7	0.49	0.71	0
3	0.28	0.72	0
4	0.98	0.32	0
4	0.68	0.74	0
7	0.18	0.13	0
5	0.93	0.49	0
3	0.73	0.23	0
1	0.53	0.75	0
10	0.31	0.79	0
1	0.85	0.78	0
9	0.84	0.74	1
6	0.88	0.16	0
5	0.2	0.16	0
5	0.18	0.84	0
3	0.58	1	0
6	0.52	0.21	0
6	0.79	0.98	0
7	0.51	0.67	0
5	0.61	0.11	0
4	0.38	0.12	0
5	0.98	0.98	0
7	0.12	0.41	0
8	0.7	0.89	0
10	0.46	0.9	0
7	0.13	0.65	0
4	0.88	0.38	0
6	0.74	0.36	0
8	0.28	0.13	0
5	0.49	0.51	0
9	0.67	0.36	0
7	1	0.49	0
1	0.52	0.72	0
3	0.72	0.7	0
7	0.59	0.19	0
5	0.93	0.58	0
7	0.47	0.64	0
8	0.55	0.9	0
5	0.84	0.61	0
3	0.63	0.99	0
2	0.82	0.52	0
10	0.77	0.86	0
4	0.17	0.36	0
5	0.54	0.29	0
3	0.95	0.66	0
3	0.32	0.54	0
6	0.53	0.57	0
6	0.32	0.82	0
3	0.18	0.11	0
7	0.68	0.8	0
9	0.83	0.26	0
8	0.96	0.25	0
5	0.31	0.25	0
3	0.38	0.86	0
5	0.38	0.37	0
10	0.79	0.67	0
5	0.25	0.31	0
5	0.35	0.63	0
8	0.13	0.26	0
10	0.76	0.75	0
5	0.59	0.53	0
5	0.82	0.25	0
1	0.14	0.69	0
1	0.95	0.24	0
6	0.55	0.56	0
5	0.66	0.62	0
8	0.55	0.41	0
4	0.78	0.99	0
2	0.12	0.69	0
1	0.41	0.99	0
10	0.67	0.41	0
5	0.45	0.18	0
7	0.22	0.16	0
4	0.64	0.16	0
8	0.47	0.32	0
6	0.53	0.61	0
8	0.85	0.79	1
8	0.67	0.4	0
9	0.17	0.14	0
6	0.12	0.62	0
9	0.39	0.17	0
1	0.6	1	0
9	0.87	0.74	1
5	0.48	0.91	0
4	0.54	0.77	0
2	0.79	0.27	0
3	0.74	0.27	0
5	0.45	0.26	0
5	0.16	0.77	0
7	0.94	0.85	1
9	0.88	0.68	0
10	0.12	0.94	0
1	0.11	0.39	0
1	0.31	0.69	0
5	0.43	0.78	0
8	0.83	0.62	0
10	0.39	0.81	0
10	0.45	0.27	0
6	0.94	0.55	0
4	0.51	0.32	0
5	0.64	1	0
4	0.27	0.92	0
5	0.47	0.22	0
8	0.28	0.38	0
4	0.64	0.13	0
4	0.45	0.81	0
6	0.83	0.17	0
8	0.83	0.64	0
8	0.97	0.45	0
6	0.29	0.36	0
7	0.76	0.54	0
1	0.23	0.43	0
1	0.11	0.12	0
2	0.64	0.51	0
2	0.73	0.53	0
10	0.41	0.37	0
7	0.91	0.87	1
9	0.62	0.2	0
6	0.87	0.23	0
6	0.19	0.42	0
5	0.18	0.21	0
8	0.82	0.22	0
10	0.52	0.53	0
7	0.4	0.51	0
1	0.71	0.86	0
7	0.18	0.54	0
9	1	0.6	0
2	0.76	0.41	0
5	0.5	0.91	0
1	0.95	0.19	0
8	0.77	0.27	0
2	0.78	1	0
6	0.37	0.34	0
1	0.16	0.89	0
10	0.8	0.11	0
9	0.65	0.76	0
9	0.23	0.63	0
3	0.68	0.46	0
3	0.71	0.93	0
3	0.83	0.63	0
8	0.73	0.4	0
3	0.97	0.9	0
4	0.64	0.89	0
7	0.93	0.43	0
2	0.46	0.15	0
9	0.33	0.85	0
9	0.9	0.54	0
5	0.9	0.22	0
10	0.48	0.34	0
3	0.77	0.4	0
3	0.63	0.99	0
4	0.73	0.35	0
6	0.72	0.15	0
3	0.27	0.43	0
1	0.9	0.27	0
10	0.77	0.71	0
8	0.69	0.3	0
10	0.66	0.65	0
8	0.79	0.94	0
5	0.92	0.88	0
2	0.48	0.56	0
8	0.99	0.77	1
6	0.66	0.1	0
6	0.94	0.72	1
9	0.29	0.14	0
2	0.59	0.81	0
7	0.2	0.55	0
1	0.73	0.69	0
10	0.85	0.94	1
10	0.9	0.82	1
9	0.9	0.23	0
7	0.21	0.88	0
4	0.91	0.71	0
8	0.44	0.62	0
2	0.47	0.34	0
4	0.11	0.9	0
5	0.83	0.36	0
3	0.85	0.98	0
10	0.9	0.79	1
5	0.36	0.48	0
1	0.12	1	0
4	0.76	0.86	0
7	0.49	0.46	0
4	0.64	0.16	0
9	0.88	0.13	0
9	0.4	0.85	0
9	0.97	0.45	0
5	0.64	0.43	0
2	0.96	0.25	0
4	0.87	0.56	0
2	0.6	0.44	0
9	0.34	0.79	0
6	0.62	0.61	0
5	0.88	0.96	0
7	0.76	0.36	0
1	0.39	0.71	0
3	0.42	0.74	0
9	0.81	0.88	1
6	0.4	0.95	0
3	0.88	0.12	0
9	0.56	0.7	0
2	0.19	0.83	0
3	0.75	0.59	0
6	0.75	0.25	0
1	0.65	0.22	0
8	0.4	0.22	0
6	0.53	0.41	0
8	0.56	0.25	0
5	0.58	0.47	0
10	0.23	0.54	0
8	0.99	0.85	1
7	0.11	0.6	0
5	0.45	0.2	0
7	0.94	0.63	0
2	0.97	0.87	0
6	0.83	0.79	1
2	0.56	0.48	0
6	0.83	0.84	1
7	0.29	0.93	0
2	0.92	0.39	0
8	0.22	0.76	0
3	0.19	0.66	0
8	0.7	0.28	0
9	0.49	0.24	0
1	0.12	0.65	0
9	0.95	0.35	0
7	0.58	0.51	0
5	0.8	0.94	0
8	0.34	0.28	0
3	0.79	0.25	0
2	0.27	0.89	0
6	0.94	0.47	0
7	0.33	0.59	0
8	0.27	0.16	0
2	0.92	0.71	0
10	0.46	0.48	0
10	0.43	0.39	0
4	0.17	0.92	0
4	0.19	0.82	0
7	0.98	0.79	1
1	0.33	0.55	0
6	0.36	0.71	0
2	0.1	0.56	0
5	0.28	0.66	0
5	0.58	0.62	0
7	0.19	0.75	0
2	0.16	0.52	0
5	0.25	0.71	0
8	0.58	0.28	0
8	0.84	0.15	0
10	0.46	0.25	0
9	0.82	0.98	1
6	0.84	0.87	1
4	0.44	0.39	0
7	0.21	0.24	0
8	0.68	0.3	0
6	0.32	0.27	0
10	0.14	0.48	0
2	0.65	0.77	0
7	0.92	0.13	0
2	0.61	0.91	0
1	0.82	0.55	0
8	0.67	0.73	0
3	0.39	0.29	0
10	0.91	0.25	0
3	0.81	0.28	0
10	0.49	0.93	0
10	0.23	0.63	0
3	0.87	0.53	0
6	0.19	0.7	0
8	0.13	0.42	0
6	0.32	0.61	0
2	0.24	0.79	0
6	0.15	0.98	0
3	0.72	0.12	0
5	0.92	0.39	0
9	0.32	0.37	0
5	0.22	0.6	0
10	0.37	0.66	0
5	0.86	0.7	0
2	0.22	0.67	0
5	0.81	0.35	0
8	0.58	0.97	0
2	0.81	0.7	0
10	1	0.64	0
3	0.31	0.56	0
7	0.49	0.39	0
5	0.3	0.65	0
6	0.23	0.98	0
8	0.9	0.3	0
8	0.41	0.67	0
5	0.66	0.48	0
3	0.29	0.24	0
1	0.54	0.46	0
9	0.72	0.86	0
10	0.69	0.61	0
6	0.96	0.48	0
6	0.22	0.21	0
9	0.17	0.26	0
7	0.33	0.31	0
2	0.17	0.17	0
2	0.29	0.89	0
4	0.7	0.51	0
6	0.54	0.52	0
5	0.63	0.46	0
6	0.99	0.58	0
2	0.88	0.86	0
3	0.33	0.94	0
7	0.51	0.81	0
2	0.47	0.69	0
7	0.9	0.41	0
3	0.52	0.31	0
4	0.7	0.36	0
10	0.64	0.53	0
1	0.55	0.52	0
10	0.34	0.67	0
7	0.84	0.66	0
7	0.96	0.8	1
8	0.73	0.97	0
2	0.3	0.89	0
1	0.84	0.93	0
1	0.3	0.95	0
2	0.95	0.14	0
7	0.85	0.43	0
9	0.12	0.98	0
8	0.78	0.75	0
8	0.61	0.49	0
6	0.39	0.69	0
3	0.97	0.27	0
9	0.47	0.56	0
3	0.51	0.47	0
3	0.69	0.62	0
6	0.13	0.97	0
1	0.53	0.9	0
5	0.89	0.51	0
5	0.48	0.94	0
8	0.83	0.57	0
4	0.22	0.8	0
9	0.41	0.76	0
5	0.67	0.55	0
8	0.62	0.36	0
2	0.53	0.61	0
2	0.2	0.69	0
2	0.2	0.43	0
5	0.16	0.5	0
3	0.29	0.31	0
3	0.46	0.22	0
6	0.13	0.22	0
2	0.69	0.89	0
4	0.34	0.78	0
8	0.24	0.57	0
9	0.61	0.17	0
2	0.94	0.27	0
8	0.51	0.33	0
7	0.29	0.91	0
7	0.21	0.83	0
9	0.96	0.16	0
4	0.42	0.65	0
4	0.82	0.2	0
5	0.4	0.4	0
5	0.53	0.68	0
7	0.12	0.39	0
9	0.76	0.44	0
5	0.69	0.98	0
9	0.9	0.86	1
4	0.45	0.17	0
8	0.97	0.17	0
6	0.62	0.2	0
4	0.73	0.13	0
6	0.28	0.24	0
8	0.4	0.46	0
3	0.19	0.94	0
6	0.75	0.3	0
2	0.34	0.44	0
10	0.92	0.68	0
3	0.6	0.12	0
9	0.57	0.39	0
5	0.47	0.12	0
10	0.64	0.82	0
5	0.24	0.73	0
1	0.64	0.41	0
1	0.48	0.87	0
7	0.79	0.63	0
1	0.63	0.76	0
2	0.74	0.42	0
10	0.34	0.24	0
9	0.46	0.31	0
10	0.36	0.84	0
5	0.92	0.33	0
8	0.33	0.23	0
10	0.21	0.38	0
2	0.94	0.25	0
4	0.47	0.91	0
7	0.81	0.33	0
1	0.45	0.89	0
7	0.99	0.31	0
5	0.62	0.46	0
3	0.42	0.67	0
10	0.76	0.37	0
6	0.66	0.17	0
1	0.61	0.86	0
10	0.85	0.64	0
7	0.94	0.88	1
9	0.49	0.55	0
1	0.23	0.4	0
3	0.52	0.56	0
9	0.72	0.92	0
2	0.45	0.33	0
9	0.31	0.61	0
1	0.32	0.19	0
8	0.83	0.45	0
9	0.71	0.26	0
4	0.95	0.14	0
1	0.48	0.24	0
8	0.97	0.96	1
6	0.53	0.82	0
3	0.47	0.72	0
9	0.85	0.73	1
2	0.3	0.44	0
10	0.18	0.89	0
9	0.58	0.12	0
6	0.14	0.86	0
1	0.57	0.7	0
5	0.49	0.45	0
10	0.45	0.29	0
1	0.43	0.85	0
8	0.64	0.56	0
4	0.73	0.55	0
8	0.32	0.36	0
2	0.82	0.44	0
8	0.5	0.26	0
9	0.3	0.65	0
9	0.77	0.19	0
2	0.6	0.48	0
6	0.34	0.27	0
7	0.59	0.25	0
7	0.14	0.21	0
3	0.39	0.96	0
7	0.72	0.67	0
4	0.34	0.2	0
8	0.88	0.97	1
2	0.13	0.91	0
2	0.59	0.43	0
7	0.39	0.53	0
5	0.29	0.18	0
9	0.15	0.64	0
5	0.79	0.5	0
10	0.28	0.97	0
4	0.4	0.52	0
3	0.88	0.23	0
2	0.28	0.77	0
7	0.78	0.58	0
8	0.27	0.34	0
6	0.49	0.55	0
4	0.3	0.99	0
10	0.27	0.92	0
5	0.41	0.99	0
3	0.82	0.45	0
8	0.77	0.98	0
3	0.18	0.77	0
4	0.53	0.64	0
7	0.74	0.82	0
4	0.78	0.92	0
3	0.32	0.7	0
9	0.91	0.66	0
7	0.93	0.5	0
5	0.77	0.31	0
6	0.44	0.79	0
4	0.8	0.47	0
9	0.92	0.89	1
5	0.63	0.48	0
4	0.66	0.72	0
3	0.15	0.19	0
2	0.67	0.87	0
8	0.81	0.5	0
4	0.31	0.3	0
6	0.72	0.45	0
10	0.97	0.76	1
7	0.51	0.89	0
7	0.26	0.74	0
6	0.95	0.68	0
4	0.25	0.53	0
7	0.9	0.64	0
7	0.18	0.35	0
2	0.41	0.27	0
1	0.35	0.26	0
1	0.13	0.61	0
7	0.25	0.56	0
8	0.93	0.16	0
1	0.11	0.92	0
9	0.36	0.72	0
7	0.71	0.8	0
1	0.43	0.41	0
7	0.11	0.16	0
3	0.5	0.84	0
4	0.96	0.55	0
1	0.74	0.59	0
1	0.2	0.17	0
10	0.16	0.46	0
9	0.88	0.71	1
10	0.15	0.32	0
10	0.63	0.34	0
7	0.57	0.75	0
1	0.3	0.87	0
6	0.31	0.14	0
8	0.31	0.51	0
2	0.77	0.31	0
5	0.71	0.4	0
1	0.51	0.74	0
9	0.56	0.46	0
3	0.25	0.53	0
8	0.78	0.85	0
9	0.87	0.84	1
9	0.7	0.22	0
2	0.85	0.12	0
8	0.79	0.22	0
10	0.37	0.33	0
5	0.72	0.7	0
8	0.13	0.72	0
5	0.38	0.87	0
10	0.93	0.8	1
4	0.31	0.63	0
3	0.69	0.79	0
1	0.89	0.51	0
4	0.36	0.72	0
10	0.72	0.53	0
2	0.48	0.61	0
9	0.11	0.8	0
8	0.35	0.32	0
2	0.79	0.5	0
8	0.78	0.37	0
8	0.8	0.89	1
3	0.58	0.92	0
10	0.26	0.42	0
5	0.29	0.31	0
6	0.96	0.66	0
10	0.99	0.33	0
4	0.21	0.77	0
10	0.74	0.79	0
9	0.18	0.42	0
3	0.81	0.48	0
4	0.21	0.12	0
6	0.18	0.9	0
10	0.93	0.34	0
10	0.76	0.59	0
3	0.1	0.16	0
9	0.1	0.47	0
8	0.53	0.93	0
7	0.46	0.57	0
1	0.97	1	0
9	0.35	0.82	0
1	0.73	0.63	0
10	0.32	0.6	0
2	0.89	0.61	0
1	0.37	0.63	0
2	0.72	0.8	0
9	0.81	0.16	0
9	0.55	0.28	0
6	0.44	0.65	0
9	0.79	0.6	0
1	0.97	0.11	0
4	0.52	0.21	0
3	0.52	0.79	0
4	0.55	0.53	0
6	0.45	0.45	0
8	0.88	0.66	0
8	0.93	0.4	0
6	0.62	0.19	0
4	0.84	0.68	0
6	0.71	0.46	0
2	0.85	0.38	0
8	0.94	0.22	0
5	1	0.85	0
1	0.92	0.82	0
6	0.89	0.32	0
3	0.5	0.3	0
1	0.44	0.39	0
5	0.59	0.72	0
3	0.61	0.59	0
10	0.17	0.35	0
9	0.41	0.83	0
3	0.59	0.6	0
10	0.2	0.75	0
8	0.87	1	1
2	0.76	0.81	0
4	0.89	0.33	0
6	0.46	0.67	0
5	0.86	0.42	0
8	0.64	0.52	0
2	0.21	0.7	0
10	0.13	0.99	0
5	0.15	0.13	0
3	0.65	0.25	0
8	0.51	0.36	0
8	0.37	0.44	0
2	0.21	0.74	0
5	0.32	0.13	0
3	0.15	0.12	0
8	0.49	0.36	0
4	0.21	0.35	0
6	0.51	0.19	0
6	0.93	0.39	0
7	0.1	0.95	0
10	0.49	0.11	0
2	0.39	0.52	0
7	0.49	0.54	0
8	0.19	0.35	0
7	0.28	0.56	0
2	0.71	0.65	0
6	0.24	0.87	0
8	0.93	0.22	0
4	0.84	0.63	0
9	0.89	0.28	0
4	0.95	0.54	0
1	0.75	0.19	0
4	0.51	0.3	0
4	0.22	0.11	0
9	0.86	0.39	0
9	0.97	0.44	0
1	0.49	0.81	0
9	0.29	0.82	0
8	0.88	0.54	0
3	0.82	0.42	0
2	0.86	0.78	0
8	0.28	0.83	0
8	0.47	0.54	0
4	0.34	0.14	0
8	0.85	0.13	0
2	0.36	0.11	0
3	0.93	0.34	0
3	0.93	0.83	0
6	0.64	0.67	0
7	0.6	0.78	0
8	0.65	0.29	0
9	0.57	0.99	0
5	0.98	0.52	0
4	0.95	0.4	0
5	0.14	0.97	0
9	0.89	0.64	0
2	1	0.92	0
5	0.69	0.37	0
7	0.98	0.76	1
4	0.47	0.52	0
7	0.36	0.16	0
8	0.49	0.31	0
6	0.91	0.69	0
3	0.16	0.17	0
3	0.87	0.77	0
3	0.17	0.23	0
1	0.4	0.75	0
7	0.64	0.22	0
2	0.36	0.35	0
2	0.96	0.85	0
6	0.9	0.97	1
9	0.3	0.58	0
1	0.38	0.82	0
2	0.65	0.31	0
1	0.53	0.74	0
9	0.16	0.92	0
9	0.1	0.6	0
9	0.76	0.96	0
3	0.9	0.11	0
5	0.86	0.57	0
9	0.42	0.6	0
9	0.48	0.52	0
3	0.82	0.32	0
10	0.88	0.73	1
6	0.84	0.97	1
10	0.43	0.96	0
1	0.62	0.12	0
3	0.72	0.53	0
8	0.11	0.84	0
7	0.41	0.88	0
7	0.66	0.75	0
4	0.88	0.97	0
2	0.9	0.89	0
9	0.82	0.19	0
3	0.8	0.49	0
3	0.89	0.84	0
8	0.26	0.75	0
5	0.16	0.46	0
1	0.4	0.38	0
1	0.31	0.12	0
5	0.39	0.59	0
10	0.8	0.82	1
10	0.83	0.11	0
1	0.23	0.19	0
4	0.29	0.95	0
8	0.75	0.9	0
10	0.34	0.51	0
2	0.4	0.23	0
9	0.18	0.69	0
4	0.9	0.72	0
5	0.33	0.9	0
10	0.38	0.21	0
8	0.78	0.77	0
5	0.82	0.98	0
7	0.65	0.3	0
6	0.59	0.5	0
7	0.29	0.32	0
2	0.7	0.99	0
1	0.21	0.46	0
2	0.37	0.42	0
1	0.33	0.58	0
10	0.8	0.26	0
7	0.68	0.74	0
10	0.19	0.63	0
6	0.49	0.41	0
7	0.47	0.25	0
6	0.31	0.82	0
8	0.15	0.28	0
1	0.63	0.73	0
8	0.33	0.56	0
4	0.73	0.18	0
5	0.48	0.18	0
3	0.15	0.8	0
6	0.54	0.46	0
10	0.23	0.39	0
2	0.36	0.61	0
6	0.48	0.23	0
5	0.83	0.67	0
7	0.85	0.98	1
3	0.26	0.52	0
6	0.37	0.89	0
1	0.58	1	0
6	0.36	0.91	0
6	0.22	0.56	0
8	0.53	0.83	0
3	0.88	0.3	0
4	0.32	0.2	0
5	0.55	0.82	0
3	0.24	0.83	0
9	0.12	0.21	0
10	0.24	0.92	0
3	0.81	0.98	0
2	0.46	0.52	0
4	0.22	0.27	0
5	0.56	0.34	0
5	0.7	0.42	0
6	0.16	0.53	0
2	0.45	0.74	0
9	0.33	0.89	0
2	0.88	0.2	0
4	0.23	0.37	0
4	0.31	0.31	0
1	0.6	0.69	0
7	0.79	0.12	0
2	0.46	0.74	0
9	0.68	0.76	0
6	0.72	0.53	0
3	0.17	0.81	0
7	0.61	0.44	0
3	0.31	0.57	0
3	0.83	0.49	0
4	0.91	0.32	0
3	0.57	0.37	0
7	0.22	0.62	0
1	0.19	0.31	0
8	0.41	0.54	0
5	0.4	0.77	0
5	0.5	0.71	0
7	0.3	0.23	0
7	0.81	0.54	0
3	0.77	0.82	0
3	0.16	0.1	0
1	0.91	0.76	0
8	0.79	0.77	0
8	0.68	0.88	0
6	0.51	0.93	0
5	0.26	0.43	0
3	0.52	0.32	0
8	0.33	1	0
3	0.42	0.95	0
5	0.53	0.11	0
1	0.42	0.48	0